Name,Comment
ABAIIN Registry Entry,"An entry in the ABA IIN registry, a repository of financial institution characteristics collected by the ABA for those institutions to which they issue IINS "
ABAIIN Registry Entry only applies To,"A subtype of associative entity 'applies To' to restrict child entities for the parent, ABAIIN Registry Entry "
ABARTN Registry Entry,"An entry in the ABA RTN registry, a repository of financial institution characteristics collected by the ABA Registrar on behalf of the ABA "
ABARTN Registry Entry only applies To,"A subtype of associative entity 'applies To' to restrict child entities for the parent, ABARTN Registry Entry "
Absolute Prepayment Rate,Measure of the monthly rate of loan prepayments as a percentage of the original pool balance
Account,Container for records associated with a business arrangement for regular transactions and services
Account As An Asset,Financial asset in the form of an account
Account Change Notification Obligation,Obligation to notify a counterparty of any changes in account details
Account Holder,Party that owns an account
Account Identifier,Identifier that denotes an account
Account Ownership,Holding of an account
Account Provider,Party that provides and services an account
Account Specific Service Agreement,"Service-agreement that is account-specific, applicable in cases where a client might hold multiple accounts with differing terms and conditions "
Account Statement,Periodic summary of account activity for a given period of time
Accounting Framework,"Framework, including policies, methods, rules, and processes, used to measure, recognize, present, and disclose the information appearing in an entity's financial statements, and, from a legal ownership perspective, that is applied for accounting consolidation determination "
Accounting Transaction,Event recognized by an entry in the records of an account
Accrual,The process of accumulating interest or other income that has been earned but not paid
Accrued Interest,"Amount of interest that has been incurred, as of a specific date, on a loan or other financial obligation but has not yet been paid out "
Action,"Event announced, initiated or carried out by an organization that affects a legal entity or the securities it issues and may have a material impact on that entity's stakeholders, such as shareholders and creditors "
Action Classification Scheme,"Scheme for classifying the kinds of actions and events that may be announced, initiated or carried out by an organization that affects a legal entity or the securities it issues "
Action Classification Scheme only has Member (cmns),"A subtype of associative entity 'has Member (cmns)' to restrict child entities for the parent, Action Classification Scheme "
Action Classifier,"Classifier that distinguishes the kinds of actions and events that may be announced, initiated or carried out by an organization that affects a legal entity or the securities it issues, such as income-oriented events "
Action Status,State of some action at some point in time
Actor,"Primary performer in a relationship between parties, i.e., the party that does something, causes something to happen, or otherwise plays an agentive role in the relationship "
acts In,Indicates a situation in which the actor plays a primary role
acts On,Relates an actor in a given situation to the undergoer that they affect under the circumstances
Ad Hoc Schedule,Schedule consisting of some number of individual events that are not necessarily recurring
Ad Hoc Schedule Entry,"Entry, including a date or date and time, among multiple non-regularly-recurring entries in a schedule "
Address,Index to a location to which communications may be delivered
Address Component,Aspect of an address
Addressing Scheme,System for allocating addresses to objects
Addressing Scheme only defines,"A subtype of associative entity 'defines' to restrict child entities for the parent, Addressing Scheme "
Adjustable Rate Dividend,Dividend that varies with a benchmark
Adjusted Closing Price,"Amended closing price to reflect a security's value after accounting for any corporate actions, such as stock splits, dividends, and rights offerings "
Administrative Agent,Role of a financial institution (often one of the primary lenders in the syndicate) designated to act as an intermediary between the borrowers and the syndicate lenders
Adult,Person who has attained the age of majority as defined in some jurisdiction
advises,Provides counsel or guidance to
Affiliate,"Party that is related to a legal entity, directly, or indirectly through one or more intermediaries, and controls, or is controlled by, or is under common control with that entity, typically determined by the degree of ownership "
Affiliation,Situation in which a controlled party is affiliated with a controlling party for some period of time
Age,Length of time that something or someone has been alive or existed
Age Of Majority,Age at which someone acquires the rights and responsibilities of an adult in some jurisdiction
Agency Agreement,Agreement that designates a party as a registered agent to represent and act on behalf of another
Agency Of A Foreign Banking Organization,"Place of business of a foreign bank, located in any state, at which credit balances are maintained, checks are paid, money is lent, or, to the extent not prohibited by state or federal law, deposits are accepted from a person or entity that is not a citizen or resident of the United States "
Agent,Something autonomous that can adapt to and interact with its environment
Agent For Service Of Process,"Registered agent (person or organization) designated by a business entity, such as a corporation, to receive legal correspondence on behalf of the business entity in the jurisdiction in which the agent's address is located "
Agent Role,Role played by any agent
